Unit,bronze_preban_count,bronze_preban_pct,silver_preban_count,silver_preban_pct,gold_preban_count,gold_preban_pct,master_preban_count,master_preban_pct,challenger_preban_count,challenger_preban_pct,champion_preban_count,champion_preban_pct,legend_preban_count,legend_preban_pct,total
Baal & Sezan,5,0.0003899851805631386,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6
c4073,3,0.00023399110833788317,2,0.00010203040506070809,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,6
c1104,3,0.00023399110833788317,0,0.0,0,0.0,0,0.0,1,7.064641469445426e-05,2,9.973570039395601e-05,0,0.0,6
Jena,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,4,0.00019947140078791203,0,0.0,5
c1090,2,0.00015599407222525544,0,0.0,1,3.253407944822201e-05,0,0.0,1,7.064641469445426e-05,1,4.986785019697801e-05,0,0.0,5
Ains,0,0.0,0,0.0,1,3.253407944822201e-05,3,0.00015267175572519084,1,7.064641469445426e-05,0,0.0,0,0.0,5
Sonia,2,0.00015599407222525544,1,5.1015202530354045e-05,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,4
Enott,0,0.0,0,0.0,0,0.0,0,0.0,3,0.00021193924408336278,1,4.986785019697801e-05,0,0.0,4
Bellona,4,0.0003119881444505109,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
Crimson Armin,3,0.00023399110833788317,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,4
Luluca,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,3,0.00014960355059093404,0,0.0,4
Aramintha,3,0.00023399110833788317,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
Fighter Maya,0,0.0,1,5.1015202530354045e-05,2,6.506815889644402e-05,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,4
Ken,2,0.00015599407222525544,1,5.1015202530354045e-05,0,0.0,0,0.0,1,7.064641469445426e-05,0,0.0,0,0.0,4
Eaton,2,0.00015599407222525544,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,4
Mucacha,0,0.0,0,0.0,1,3.253407944822201e-05,2,0.00010178117048346055,0,0.0,0,0.0,0,0.0,3
Taranor Royal Guard,0,0.0,0,0.0,0,0.0,0,0.0,3,0.00021193924408336278,0,0.0,0,0.0,3
Crescent Moon Rin,0,0.0,0,0.0,1,3.253407944822201e-05,0,0.0,1,7.064641469445426e-05,1,4.986785019697801e-05,0,0.0,3
c1101,0,0.0,0,0.0,0,0.0,0,0.0,3,0.00021193924408336278,0,0.0,0,0.0,3
